sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Pionus maximiliani	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
	Sciurus spadiceus	RO:0002470	eats		Attalea phalerata							"Choo, J.; Juenger, T. E.; Simpson, B. B.. 2012. Consequences of frugivore-mediated seed dispersal for the spatial and genetic structures of a neotropical palm. Molecular Ecology. 1019-1031"
	Amazona aestiva	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
	Myoprocta pratti	RO:0002470	eats		Attalea phalerata							"Choo, J.; Juenger, T. E.; Simpson, B. B.. 2012. Consequences of frugivore-mediated seed dispersal for the spatial and genetic structures of a neotropical palm. Molecular Ecology. 1019-1031"
	Saimiri boliviensis	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Ara glaucogularis	RO:0002470	eats		Attalea phalerata							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Caracara plancus	RO:0002470	eats		Attalea phalerata							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Caracara plancus	RO:0002470	eats		Attalea phalerata							"Montufar, Rommel; Anthelme, Fabien; Pintaud, Jean-Christophe; Balslev, Henrik. 2011. Disturbance and Resilience in Tropical American Palm Populations and Communities. Botanical Review. 426-461"
	Caracara plancus	RO:0002470	eats		Attalea phalerata							"Galetti, M.; Guimaraes, P.. 2004. Seed dispersal of Attalea phalerata (Palmae) by Crested caracaras (Caracara plancus) in the Pantanal and a review of frugivory by raptors . Ararajuba. 133-135"
	Ara chloropterus	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
	Anodorhynchus hyacinthinus	RO:0002470	eats		Attalea phalerata							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Anodorhynchus hyacinthinus	RO:0002470	eats		Attalea phalerata							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Anodorhynchus hyacinthinus	RO:0002470	eats		Attalea phalerata							"Galetti, M.; Guimaraes, P.. 2004. Seed dispersal of Attalea phalerata (Palmae) by Crested caracaras (Caracara plancus) in the Pantanal and a review of frugivory by raptors . Ararajuba. 133-135"
	Dasyprocta azarae	RO:0002470	eats		Attalea phalerata							"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme. 2013. Seasonal Habitat Use of Agoutis (Dasyprocta azarae) is Driven by the Palm Attalea phalerata in Brazilian Pantanal. Biotropica. 380-385"
	Sapajus apella	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Sapajus apella	RO:0002470	eats		Attalea phalerata							"Choo, J.; Juenger, T. E.; Simpson, B. B.. 2012. Consequences of frugivore-mediated seed dispersal for the spatial and genetic structures of a neotropical palm. Molecular Ecology. 1019-1031"
	Sapajus apella	RO:0002470	eats		Attalea phalerata							"Choo, J.; Juenger, T. E.; Simpson, B. B.. 2012. Consequences of frugivore-mediated seed dispersal for the spatial and genetic structures of a neotropical palm. Molecular Ecology. 1019-1031"
	Dasyprocta punctata	RO:0002470	eats		Attalea phalerata							"Quiroga-Castro, V. D.; Roldan, A. I.. 2001. The fate of Attalea phalerata (Palmae) seeds dispersed to a tapir latrine. Biotropica. 472-477"
	Dasyprocta punctata	RO:0002470	eats		Attalea phalerata							"Choo, J.; Juenger, T. E.; Simpson, B. B.. 2012. Consequences of frugivore-mediated seed dispersal for the spatial and genetic structures of a neotropical palm. Molecular Ecology. 1019-1031"
	Ateles chamek	RO:0002470	eats		Attalea phalerata							"Felton, Annika M.; Felton, Adam; Wood, Jeff T.; Lindenmayer, David B.. 2008. Diet and feeding ecology of Ateles chamek in a bolivian semihumid forest: The importance of Ficus as a staple food resource. International Journal of Primatology. 379-403"
	Cercocebus galeritus	RO:0002470	eats		Hyphaene compressa							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
